,,,Top 5 weighted features,,
,1,2,3,4,5
app: appliances by owner,0 to 4 years: 0.0003532,30 to 34 years: 0.0002746,45 to 49 years: 0.0001447,85 years and over: 0.0001197,65 to 69 years: 0.0001142
art: arts & crafts - by owner,60 to 64 years: 0.0002719,35 to 39 years: 0.0002688,40 to 44 years: 0.0002291,20 to 24 years: 0.0001815,30 to 34 years: 0.0001686
atq: antiques - by owner,50 to 54 years: 0.0005189,65 to 69 years: 0.0004676,35 to 39 years: 0.0004194,5 to 9 years: 0.0003195,30 to 34 years: 0.0002947
bab: baby & kid stuff - by owner,30 to 34 years: 0.0005305,55 to 59 years: 0.0003616,85 years and over: 0.0003141,80 to 84 years: 0.0002485,5 to 9 years: 0.0002157
bfd: business/commercial - by dealer,20 to 24 years: 0.0005161,0 to 4 years: 0.0004420,5 to 9 years: 0.0003760,15 to 19 years: 0.0002480,10 to 14 years: 0.0002430
boa: boats - by owner,60 to 64 years: 9.7909442e-06,55 to 59 years: 7.0895542e-06,70 to 74 years: -4.0838981e-06,50 to 54 years: -4.1778706e-06,45 to 49 years: -5.2234638e-06
clo: clothing and accessories by owner,50 to 54 years: 0.0006124,30 to 34 years: 0.0004467,85 years and over: 0.0004202,25 to 29 years: 0.0002985,45 to 49 years: 0.0002899
eld: electronics - by dealer,45 to 49 years: 0.0016232,0 to 4 years: 0.0008872,75 to 79 years: 0.0008426,70 to 74 years: 0.0008266,25 to 29 years: 0.0005335
fuo: furniture - by owner,40 to 44 years: 0.0008311,10 to 14 years: 0.0005116,30 to 34 years: 0.0004980,5 to 9 years: 0.0004610,35 to 39 years: 0.0003840
grd: farm & garden - by owner,55 to 59 years: 0.0005470,60 to 64 years: 0.0004023,50 to 54 years: 0.0003742,45 to 49 years: 0.0002854,30 to 34 years: 0.0001700
had: health and beauty - by dealer,25 to 29 years: 0.0001430,30 to 34 years: 6.6256450e-05,20 to 24 years: 6.4160757e-05,35 to 39 years: -3.9657456e-05,75 to 79 years: -4.3183764e-05
hsd: household items - by dealer,20 to 24 years: 0.0002631,15 to 19 years: 0.0001705,10 to 14 years: 0.0001649,5 to 9 years: 0.0001488,0 to 4 years: 0.0001286
hsh: household items - by owner,35 to 39 years: 0.0006346,30 to 34 years: 0.0005017,85 years and over: 0.0004944,50 to 54 years: 0.0004100,40 to 44 years: 0.0004004
sys: computers - by owner,25 to 29 years: 0.0007194,45 to 49 years: 0.0006936,60 to 64 years: 0.0005618,15 to 19 years: 0.0002715,0 to 4 years: 0.0002102
tag: toys and games by owner,50 to 54 years: 0.0004393,0 to 4 years: 0.0004286,30 to 34 years: 0.0003686,55 to 59 years: 0.0003009,25 to 29 years: 0.0002206
vgd: video gaming - by dealer,20 to 24 years: 7.7965094e-05,5 to 9 years: 7.0826070e-05,10 to 14 years: 6.1482858e-05,0 to 4 years: 6.0339117e-05,15 to 19 years: 5.6359667e-05
