atq: antiques - by owner,50 to 54 years: 0.0010185,35 to 39 years: 0.0009442,65 to 69 years: 0.0008253,5 to 9 years: 0.0007382,55 to 59 years: 0.0007278
bab: baby & kid stuff - by owner,30 to 34 years: 0.0009116,55 to 59 years: 0.0006399,80 to 84 years: 0.0005533,50 to 54 years: 0.0004929,85 years and over: 0.0004143
bdp: bicycle parts - by dealer,55 to 59 years: 1.4304098e-05,45 to 49 years: 2.3639934e-07,60 to 64 years: -4.1574836e-06,50 to 54 years: -8.2924300e-06,65 to 69 years: -1.1315268e-05
bkd: books & magazines - by dealer,80 to 84 years: -8.0606444e-05,85 years and over: -8.8232142e-05,75 to 79 years: -9.4471967e-05,70 to 74 years: -0.0001139,65 to 69 years: -0.0001312
boa: boats - by owner,60 to 64 years: -2.0910982e-06,55 to 59 years: -1.0776083e-05,80 to 84 years: -1.5040887e-05,75 to 79 years: -1.5384791e-05,70 to 74 years: -1.9163642e-05
had: health and beauty - by dealer,25 to 29 years: 0.0002151,20 to 24 years: 9.0369498e-05,30 to 34 years: 6.1775363e-05,75 to 79 years: -7.5528996e-05,80 to 84 years: -8.5638220e-05
hsh: household items - by owner,35 to 39 years: 0.0016542,30 to 34 years: 0.0009846,85 years and over: 0.0009637,40 to 44 years: 0.0007764,50 to 54 years: 0.0007035
jwl: jewelry - by owner,85 years and over: 0.0009838,20 to 24 years: 0.0007291,0 to 4 years: 0.0006448,45 to 49 years: 0.0003839,30 to 34 years: 0.0002555
phd: photo/video - by dealer,65 to 69 years: 0.0033776,60 to 64 years: 0.0030821,85 years and over: 0.0028561,70 to 74 years: 0.0020039,25 to 29 years: 0.0014333
sys: computers - by owner,45 to 49 years: 0.0019177,25 to 29 years: 0.0015634,60 to 64 years: 0.0006317,15 to 19 years: 0.0004062,70 to 74 years: 0.0003767
