app: appliances by owner,Apartment - duplex: 0.0003098,Apartment - building that has fewer than five storeys: 0.0001831,Semi-detached house: 0.0001420,Apartment - building that has five or more storeys: 0.0001041,Other single-attached house: 4.8577239e-05
ard: arts and crafts by dealer,Movable dwelling: -1.5407063e-08,Other single-attached house: -2.3024122e-06,Apartment - duplex: -4.0683928e-05,Row house: -5.4501180e-05,Semi-detached house: -0.0001083
bab: baby & kid stuff - by owner,Apartment - building that has fewer than five storeys: 0.0002431,Single-detached house: 0.0002253,Semi-detached house: 0.0002171,Apartment - building that has five or more storeys: 8.0141353e-05,Other single-attached house: 3.2144583e-05
bad: baby & kid stuff - by dealer,Movable dwelling: -8.1133875e-08,Other single-attached house: -2.7660916e-06,Apartment - duplex: -5.7238629e-05,Row house: -7.0343966e-05,Semi-detached house: -0.0001226
boa: boats - by owner,Apartment - building that has fewer than five storeys: 4.8455033e-05,Movable dwelling: 4.8369969e-07,Other single-attached house: -4.1901392e-06,Row house: -1.6350057e-05,Apartment - duplex: -2.8773020e-05
clo: clothing and accessories by owner,Row house: 0.0003380,Apartment - building that has fewer than five storeys: 0.0003099,Single-detached house: 0.0001858,Apartment - building that has five or more storeys: 0.0001123,Semi-detached house: 6.0671694e-05
ele: electronics - by owner,Apartment - building that has fewer than five storeys: 0.0002294,Apartment - duplex: 0.0002117,Semi-detached house: 0.0001913,Row house: 0.0001357,Single-detached house: 0.0001303
fuo: furniture - by owner,Row house: 0.0004108,Apartment - building that has fewer than five storeys: 0.0003775,Single-detached house: 0.0002403,Other single-attached house: 0.0001341,Apartment - building that has five or more storeys: 8.8986716e-05
hvo: heavy equipment - by owner,Apartment - building that has fewer than five storeys: 3.5534155e-05,Apartment - duplex: 2.7356052e-05,Movable dwelling: 2.3964826e-07,Other single-attached house: -1.8804684e-06,Apartment - building that has five or more storeys: -1.6790863e-05
jwl: jewelry - by owner,Apartment - building that has fewer than five storeys: 0.0002103,Row house: 0.0001642,Single-detached house: 0.0001071,Apartment - building that has five or more storeys: 8.8627510e-05,Movable dwelling: 2.8852180e-07
ppd: appliances by dealer,Single-detached house: 0.0003296,Semi-detached house: 0.0003280,Apartment - building that has five or more storeys: 0.0001044,Movable dwelling: 5.0219914e-06,Row house: 4.0329726e-06
tag: toys and games by owner,Apartment - building that has fewer than five storeys: 0.0002933,Single-detached house: 0.0001612,Semi-detached house: 9.0051372e-05,Apartment - building that has five or more storeys: 7.2277026e-05,Row house: 6.9848638e-05
vgm: video gaming by owner,Apartment - building that has fewer than five storeys: 0.0002499,Apartment - duplex: 9.3201609e-05,Single-detached house: 8.2543640e-05,Apartment - building that has five or more storeys: 7.3840030e-05,Other single-attached house: 1.2160785e-05
